App Name,APK,Found
Stack,com.ketchapp.stack,True
Rodeo Stampede: Sky Zoo Safari,com.yodo1.rodeo.safari,True
Plutus Doll,toy.plush.plutus.doll,True
Solitaire Daily - Card Games,com.bigcake.android.solitairedaily,False
Block City Wars: Pixel Shooter with Battle Royale,block.app.wars,True
Shadow Fight 2,com.nekki.shadowfight,True
MARVEL Future Fight,com.netmarble.mherosgb,True
Bake a Cake Puzzles & Recipes,com.nordcurrent.bakeacake,True
Jewels Classic - Jewel Crush Legend,com.dysugar.jewels.prince,True
Sonic The Hedgehog 2 Classic,com.sega.sonic2.runner,True
Mahjong Solitaire: Classic,com.bitmango.go.mahjongsolitaireclassic,True
Pot Shot,com.penguinstd.kckffb,True
The Walking Dead: Road to Survival,com.scopely.headshot,True
Hello Neighbor,com.tinybuildgames.helloneighbor,True
Dude Perfect 2,com.miniclip.dudeperfect,True
Bubble Witch 3 Saga,com.king.bubblewitch3,True
